,,,,,,,,,,,,,,,,
O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM
O,60786,GEO,105,601,World Regional Geography: SS2,3,MWF,0900AM,0950AM,FLARMR,,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,60787,GEO,105,602,World Regional Geography: SS2,3,MWF,1200PM,1250PM,FLARMR,,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,60788,GEO,105,604,World Regional Geography: SS2,3,TR,1125AM,1250AM,FLARMR,,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,61696,GEO,105,603,World Regional Geography: SS2,3,TR,1000AM,1115AM,FLARMR,,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63051,GEO,105,605,World Regional Geography: SS2,3,MW,0130PM,0310PM,FLARMR,,24,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19
O,62352,GEO,106,601,Human Geography: SS2,3,MWF,1000AM,1050AM,FLARMR,,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,60789,GEO,106,602,Human Geography: SS2,3,TR,0225PM,0340PM,FLARMR,,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,62524,GEO,111,601,Phys Geo: Lndfrms w/Lab: SC1,4,MW,0920AM,1150AM,FLARMR,MP104,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,62353,GEO,111,602,Phys Geo: Lndfrms w/Lab: SC1,4,TR,0120PM,0350PM,FLARMR,MP104,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,62747,GEO,112,601,Phys Geo: Wthr&Clim w/Lab: SC1,4,TR,1000AM,1230PM,FLARMR,MP104,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,64267,GEO,210,601,Careers/Rsrch in Geosciences,1,F,0100PM,0250PM,FLARMR,MP104,16,22-Jan-19,11-Mar-19,28-Jan-19,1-Mar-19
